OBJECTID,MapUnit,Name,FullName,Age,Description,HierarchyKey,ParagraphStyle,Label,Symbol,AreaFillRGB,AreaFillPatternDescription,DescriptionSourceID,GeoMaterial,GeoMaterialConfidence,DescriptionOfMapUnits_ID
"16",,The Telegraph Creek Formation,The Telegraph Creek Formation,Upper Cretaceous,A transitional unit between the underlying Marias River Shale and the overlying Virgelle Sandstone. Consists mainly of beds of gray mudstone and fine-grained sandstone. The sandstone beds are thinly bedded in the lower part becoming thicker bedded in the upper part. Pelecypods and ammonites are common. Thickness ranges from about 90 m in the eastern outcrop to about 165 m in the western outcrop,01-11-02,DMU2,,,,,DAS02,Sandstone and mudstone,High,DMU16
"17",Km,Marias River Shale,Marias River Shale,Upper Cretaceous,"Mostly a dark-gray mudstone that is divided into four members (listed in descending order), the Kevin, Ferdig, Cone, and Floweree, by Cobban, Erdmann, Lemke, and Maughan (1959 - DAS20, DAS21, 1976 - DAS22). Total thickness ranges from 365 m to 395 m",01-12,DMU1,Km,Km,"128,179,077",,DAS02 | DAS20 | DAS21 | DAS22,Mostly mudstone,High,DMU17
"18",,Kevin Member,Kevin Member of the Marias River Shale,Upper Cretaceous,"Dark-gray mudstone with some very thin sandstone beds, numerous bentonite beds, and many light-gray calcareous concretions. Pelecypods and ammonites common. Ranges in thickness from 245 m to 305 m",01-12-01,DMU2,,,,,DAS02,Mostly mudstone,High,DMU18
"19",,Ferdig Member,Ferdig Member of the Marias River Shale,Upper Cretaceous,"Gray, noncalcareous siltstone and shale with many thin, iron-stained sandstone lenses, concretions of yellow-weathering limestone, red-weathering ferruginous dolostone, and some very thin bentonite beds. Contains abundant organic trails and burrows, but pelecypods and ammonites are rare. In the western outcrop, along the tributaries of the Sun River, the Ferdig is mostly sandstone (Mudge, 1972 - DAS09). Ranges in thickness from 50 m to 105 m",01-12-02,DMU2,,,,,DAS02 | DAS09,Mostly mudstone,High,DMU19
"20",,Cone Member,Cone Member of the Marias River Shale,Upper Cretaceous,"Abundant, very thin, medium-gray calcareous siltstone and crystalline limestone beds in the upper part and dark-gray, noncalcareous shale in the lower part. Contains several bentonite beds throughout. Pelecypods and ammonites are common, especially in the upper part. The member ranges in thickness from 18 m to 30 m",01-12-03,DMU2,,,,,DAS02,Sedimentary rock,High,DMU20
"21",,Floweree Member,Floweree Member of the Marias River Shale,Upper Cretaceous,"Dark-gray, noncalcareous fissile to thin-bedded shale with medium-gray siltstone in lower part that locally contains lenses of chert-pebble conglomerate. Pelecypods and ammonites are rare. Thickness about 10 m",01-12-04,DMU2,,,,,DAS02,Mudstone,High,DMU21
"22",KJ,Lower Cretaceous and Jurassic rocks undivided,Lower Cretaceous and Jurassic rocks undivided,Lower Cretaceous and Jurassic,Lower Cretaceous and Jurassic rocks undivided,01-13,DMU1,KJ,KJ,"204,235,222",,DAS02,Sedimentary rock,High,DMU22
"23",,Blackleaf Formation,Blackleaf Formation,Lower Cretaceous,"Mostly sandstone and mudstone, and includes some fissile shale. Formation divided into three members (listed in descending order), Vaughn, Taft Hill, and Flood. The total thickness about 200 m in the eastern outcrop and 490 m in the western outcrop",01-13-01,DMU2,,,,,DAS02,Sandstone and mudstone,High,DMU23
"24",,Vaughn Member,Vaughn Member of the Blackleaf Formation,Lower Cretaceous,"Nonmarine, light-gray, gray-green, and green tuffaceous and bentonitic mudstone and sandstone. Dark-gray carbonaceous mudstone locally in the upper part in the southeastern outcrop. The sandstone units are fine to coarse grained, locally crossbedded, and in places contain pebble and cobble conglomerate channel-fill deposits as much as 6 m thick (Mudge and Sheppard, 1968 - DAS28). The member contains wood and leaf fragments, and in the vicinity of Teton Pass contains coal and carbonaceous shale. Thickness from about 90 m in the eastern outcrop to about 150 m in the western outcrop",01-13-01-01,DMU2,,,,,DAS02 | DAS28,Sandstone and mudstone,High,DMU24
"25",,Taft Hill Member,Taft Hill Member of the Blackleaf Formation,Lower Cretaceous,"Marine, gray, thinly bedded, fine-grained sandstone units interbedded with dark-gray mudstone; the sandstone is locally crossbedded and ripple marked. In the northwest part of the quadrangle the upper part of the member is replaced by nonmarine strata of Vaughn lithologies. Locally the Taft Hill contains numerous pelecypods. Thickness ranges from about 58 m in the southeast to about 183 m in the west",01-13-01-02,DMU2,,,,,DAS02,Mostly sandstone,High,DMU25
"26",,Flood Member,Flood Member of the Blackleaf Formation,Lower Cretaceous,"Two marine, gray, sandstone units separated by as much as 150 m of dark-gray fissile shale. The sandstones are very fine grained, thin to moderately thick bedded, and locally crossbedded and ripple marked. Organic burrows and trails common. Thickness from about 45 m in the eastern outcrop to about 165 m thick in the western outcrop",01-13-01-03,DMU2,,,,,DAS02,Sandstone and mudstone,High,DMU26
"27",,Kootenai Formation,Kootenai Formation,Lower Cretaceous,"Consists of nonmarine, gray-green, and dark-reddish-brown mudstone interbedded with lenticular thin to thick sandstone units. Numerous heavily iron-stained, spheroidal nodules of dark-grayish-red sandy limestone are in the mudstone. The sandstone is fine to coarse grained, grayish green, with chert and quartz grains and locally magnetite. Pebble and cobble conglomerate, as much as 15 m thick, fill narrow channels locally at the base of some sandstone units. In most places a distinctive hard, dense, brown coquinoid limestone containing abundant pelecypods and some vertebrate fragments at or near the top. Thickness ranges from 198 m to 245 m",01-13-02,DMU2,,,,,DAS02,Sandstone and mudstone,High,DMU27
"28",,Mount Pablo Formation,Mount Pablo Formation,Lower Cretaceous,"Nonmarine. Exposures widespread in the eastern mountains but locally absent in the adjacent foothills. Rests unconformably on the Morrison Formation. In the western drainages of the Sun River area was included as part of the western facies of the Morrison Formation by Mudge (1972 - DAS09). Ranges from a dominantly sandstone sequence with interbedded bright-reddish-brown mudstone to a dominantly reddish brown mudstone sequence with some sandstone. Dense, dark-gray to light-gray limestone beds as much as 9 m thick are present in the upper part of the formation. In many places, coarse sandstone and thin beds of conglomerate occur as channel-fill deposits. The sandstones are medium to very coarse grained, crossbedded, and contain wood fragments. Thickness about 60 m",01-13-03,DMU2,,,,,DAS02 | DAS09,Sandstone and mudstone,High,DMU28
"29",,Morrison Formation,Morrison Formation,Upper Jurassic,"Nonmarine. A nearly complete section is present in the eastern and southern outcrop, but much of the formation was eroded prior to deposition of the Mount Pablo Formation in the western outcrop. Consists of tuffaceous, grayish-green, olive-green, and olive-gray claystone to siltstone with pink, maroon, purple, and yellowish-gray mudstones in the upper part. A thin, dark-gray carbonaceous shale present near the top in southeastern outcrop. Fine-grained clayey sandstone locally present. Abundant polished quartzite pebbles and limestone nodules characteristic of the Morrison locally. Cherty siderite lenses and nodules locally common about 35 m above the base of the formation. A thin, dark-gray-brown to gray limestone present in the lower part of the formation and locally in the middle part. Gastropods, pelecypods, plant fragments, ostracods, and vertebrate bones are sparse in the middle and lower parts of the formation. Thickness from 60 m to 82 m",01-13-04,DMU2,,,,,DAS02,Mudstone,High,DMU29
"30",,Swift Formation,Swift Formation,Upper and Middle Jurassic,"Marine. Consists of thinly bedded gray to gray-brown fine-grained sandstone in the upper part and dark-gray to olive-drab mudstone with many thin beds of sandstone in the lower part. The upper beds are locally ripple marked and contain minute cross laminations and wood fragments. A thin glauconitic sandstone, with waterworn belemnites, present at the base of the formation. Formation rests unconformably on the Rierdon Formation everywhere except in the southeast comer of the map where it rests on the Sawtooth Formation. Thickness about 35 m",01-13-05,DMU2,,,,,DAS02,Sandstone and mudstone,High,DMU30
"31",,Rierdon Formation,Rierdon Formation,Middle Jurassic,"Marine. Widely distributed except in the southeast comer of the map area. Consists mostly of gray, calcareous mudstone with thin interbedded argillaceous limestone. Barite nodules common in the upper and middle parts. Pelecypods and ammonites common throughout. Thickness from 33 m to 60 m",01-13-06,DMU2,,,,,DAS02,Mostly mudstone,High,DMU31
"32",,Sawtooth Formation,Sawtooth Formation,Middle Jurassic,"Marine. The upper member is gray-brown to yellowish-brown, calcareous, thin-bedded siltstone that contains pelecypods and ammonites. About 8 m thick. The middle member is dark-gray, silty to clayey fissile shale with local thin beds of fine-grained sandstone and conglomerate. Locally rests unconformably on Mississippian rocks. From 5 m to 77 m thick. The lower member is mostly thin bedded, fine-grained gray to yellowish-brown sandstone with a basal conglomerate of Mississippian rock fragments. Dark-gray, silty, thinly laminated shale locally interbedded in the sandstone. Pelecypods are locally abundant. Thickness of the lower member as much as 16 m",01-13-07,DMU2,,,,,DAS02,Mostly mudstone,High,DMU32
"33",Pz,"Paleozoic rocks. Includes part or all of Mississippian, Devonian, and Cambrian sequences","Paleozoic rocks. Includes part or all of Mississippian, Devonian, and Cambrian sequences",Paleozoic,"Paleozoic rocks. Includes part or all of Mississippian, Devonian, and Cambrian sequences",01-14,DMU1,|,Pz,"128,153,235",,DAS02,Mostly carbonate rock,High,DMU33
"34",Mu,Upper and Lower Mississippian rocks undivided,Upper and Lower Mississippian rocks undivided,Mississippian,"Mississippian rocks are the main cliff former in the eastern part of the mountains and are assigned to the Madison Group. The total thickness of the Mississippian rocks ranges from 275 m to 520 m. The Madison is divided into two formations, the Castle Reef Dolomite and the Allan Mountain Limestone, by Mudge, Sando, and Dutro (1962 - DAS29)",01-15,DMU1,Mu,Mu,"153,179,235",,DAS02 | DAS29,Mostly carbonate rock,High,DMU34
"35",,Castle Reef Dolomite,Castle Reef Dolomite,Upper and Lower Mississippian,"Divided into two members. Sun River Member at the top, which consists of thin to thick beds of medium to finely crystalline light-gray dolomite and locally some interbedded calcitic dolomite. Many beds contain thick lenses of encrinite and scattered brachiopods and corals. The Sun River is from less than 1 m to 137 m thick. The lower member is thick-bedded, fine to coarsely crystalline, light- to medium-gray dolomite, calcitic dolomite, dolomitic limestone, and limestone. The coarsely crystalline beds are encrinite and are more numerous in the northern and western outcrop. The lower member contains brachiopods and corals, locally abundant in the lower part. The lower member is 114 m to 145 m thick. Both members thin eastward, mainly as a result of pre-Jurassic erosion",01-15-01,DMU2,,,,,DAS02,Dolomite,High,DMU35
"36",,Allan Mountain Limestone,Allan Mountain Limestone,Lower Mississippian,"Ranges in thickness from 163 m to 200 m, and contains three unnamed members. The upper member consists of gray, fine-grained, thin to thick beds of limestone, magnesian limestone, and dolomitic limestone. Nodules and lentils of gray-to gray-brown chert are common (Mudge, 1972 - DAS09). It has a large and varied fauna, mostly brachiopods and corals, and locally, lenses and beds of encrinite. Upper member 60 to 90 m thick. The middle member consists of dark-gray, fine-grained, thin to medium beds of limestone with some dolomitic limestone. Characteristically contains nodules and irregular-shaped to even-bedded lenses of dark-gray chert, of which some have a fibrous appearance (Mudge, 1972 - DAS09). Contains sparse brachiopods and corals (Mudge, Sando, and Dutro, 1962 - DAS29). The middle member about 45 m thick. The lower member mostly dark-gray, very thin bedded, argillaceous dolomitic limestone with many calcareous shale partings. Contains dense, gray, moderately thick limestone interbedded with dark-gray mudstone. The mudstone has abundant brachiopods and corals. Thickness of lower member 60 m to 89 m",01-15-02,DMU2,,,,,DAS02 | DAS09 | DAS29,Limestone,High,DMU36
"37",Du,Upper and Middle Devonian rocks undivided,Upper and Middle Devonian rocks undivided,Upper and Middle Devonian,"Consists of limestone, dolomite, and some shale and mudstone; they range in thickness from about 300 m in the eastern outcrop to about 458 m in the western outcrop, and are divided into the Three Forks, Jefferson, and Maywood Formations",01-16,DMU1,Du,Du,"129,129,179",,DAS02,Mostly carbonate rock,High,DMU37
"38",,Three Forks Formation,Three Forks Formation,Upper Devonian,"The uppermost unit is a black shale bed of Early Mississippian age unnamed in this quadrangle but called the Sappington Member of the Three Forks elsewhere in Montana and is correlative to the Exshaw Shale in Alberta (Mudge, 1972 - DAS09). In most places it overlies thinly bedded, gray-brown to yellowish-gray limestone. The limestone commonly overlies an evaporite-solution breccia, but locally, in the Sun River area, overlies a thick bed of limestone and in one place a gray-green mudstone (Mudge, 1972 - DAS09). Fossils abound in the dark-gray shale and limestone beds. The rest of the Three Forks consists mostly of a pale-yellowish-brown to yellowish-gray evaporite-solution breccia consisting of angular fragments of dolomite and dolomitic limestone. Thickness from 15 m to 180 m",01-16-01,DMU2,,,,,DAS02 | DAS09,Sedimentary rock,High,DMU38
"39",,Jefferson Formation,Jefferson Formation,Upper Devonian,"Consists of two members: the Birdbear and a lower member. The Jefferson thickens eastward from about 190 min the western outcrop to 247 min the east. The Birdbear Member consists mostly of pale-yellowish-brown to brownish-gray, finely crystalline dolomite beds that pinch and swell. Brachiopods are commonly present. Ranges in thickness from 45 m to about 72 m. The lower member is mostly dolomite in the eastern outcrop, whereas it is mostly limestone in the western outcrop (Mudge, 1972 - DAS09). Consists of distinctive gray-brown beds (mostly less than 1/2 m thick) that characteristically have a fetid odor on the broken surface. Many beds have a sucrosic texture. The lower part commonly contains one or more thin beds of evaporite-solution breccia. Dark-gray chert lenses common in the lower part in the eastern outcrop. Corals, brachiopods, and stromatoporoids common throughout and Amphipora biostromes are widespread in the upper part. Thickness from 128 m to 198 m",01-16-02,DMU2,,,,,DAS02 | DAS09,Dolomite,Medium,DMU39
"40",,Maywood Formation,Maywood Formation,Upper and Middle Devonian,"Contains an upper limestone member and a lower mudstone member. The upper member is mainly dark grayish brown and yellowish-gray, thinly bedded, finely crystalline limestone and dolomitic limestone that thickens eastward from about 21 m in the west to 48 m in the east. Contains brachiopods and corals. The lower member is mostly greenish gray dolomitic mudstone that in the western outcrops is interbedded with maroon mudstone. Contains thin beds of crystalline yellowish-gray to olive-gray dolomite and dolomitic limestone. A widespread dolomite with some breccia present in the middle part of the member. Charophytes and conodonts are locally present in one of the dolomite beds. The lower member ranges in thickness from about 8 m in the eastern outcrop to 63 m in the western outcrop",01-16-03,DMU2,,,,,DAS02,Sedimentary rock,High,DMU40
"41",Cu,Cambrian rocks undivided,Cambrian rocks undivided,Cambrian,"Complete sections of these rocks are only in the western outcrop. Deiss (1939 - DAS23) divided these rocks into nine formations: Devils Glen Dolomite (top), Switchback Shale, Steamboat Limestone, Pentagon Shale, Pagoda Limestone, Dearborn Limestone, Damnation Limestone, Gordon Shale, and Flathead Sandstone (bottom). The Pentagon Shale occurs only in the vicinity of Pentagon Mountain where Deiss (1939 - DAS23) noted it to extend about 25 km to the south and about 7 km north of the mountain. The Devils Glen, Switchback, and Steamboat are in thrust blocks in the eastern outcrops. The limestone formations contain considerable mudstone in the east, but they are mostly limestone in the west. All formations locally contain trilobites and some brachiopods. The Cambrian rocks thin northwestward from 681 m near the Dearborn River to 439 m at Pagoda Mountain (Deiss, 1939 - DAS23)",01-17,DMU1,_u,Cu,"235,153,102",,DAS02 | DAS23,Mostly carbonate rock,High,DMU41
"42",,Devils Glen Dolomite,Devils Glen Dolomite,Upper Cambrian,"A distinctive, thick-bedded, light-gray, finely to very finely crystalline dolomite. Thickness from 54 m to 172 m (Deiss, 1939 - DAS23)",01-17-01,DMU2,,,,,DAS02 | DAS23,Dolomite,High,DMU42
"43",,Switchback Shale,Switchback Shale,Upper and Middle Cambrian,"Mostly noncalcareous, greenish-gray, thinly laminated clay shale with local thin interbeds of dolomite, limestone, sandstone, and conglomerate. Thickness from 21 m to 92 m",01-17-02,DMU2,,,,,DAS02,Mostly mudstone,High,DMU43
"44",,Steamboat Limestone,Steamboat Limestone,Middle Cambrian,"Differs in lithology between western and eastern outcrops. In the west consists of a lower shaly mudstone interval and a much thicker upper limestone interval (Deiss, 1939 - DAS23). In the eastern exposures is about equal parts of alternating sequences of limestone and calcareous shale. The carbonate units in both areas consist mostly of nodular, hard, dark-yellowish-brown, thinly bedded limestone and dolomite with nodules and lentils of dark-yellowish-orange siltstone. The mudstone units are mainly grayish-green noncalcareous shale with interbeds of calcareous siltstone and claystone. Trilobites, locally abundant, and some brachiopods occur in limestone lenses in the shales and locally near the top of the limestone units. Thickness from 65 m to 80 m",01-17-03,DMU2,,,,,DAS02 | DAS23,Sedimentary rock,High,DMU44
"45",,Pentagon Shale,Pentagon Shale,Middle Cambrian,"A clastic wedge that consists of very fossiliferous, calcareous, gray to tan-gray, thick-bedded platy shale that contains some platy, blue-gray argillaceous limestone in the upper part (Deiss, 1939 - DAS23). Thickness ranges from less than 1 m to 88 m (Deiss, 1939 - DAS23)",01-17-04,DMU2,,,,,DAS02 | DAS23,Mostly mudstone,High,DMU45
"46",,Pagoda Limestone,Pagoda Limestone,Middle Cambrian,"Forms prominent light-gray cliffs in the Cambrian sequence. The upper part consists of yellowish-gray to light-yellowish-brown, thin- to thick-bedded dolomitic limestone and some dolomite overlying very thin bedded limestone. The lower part consists of grayish-green, thinly laminated to nodular clay shale with some gray-brown limestone and minor sandstone. An intraformational conglomerate locally present in the middle and lower parts. Trilobites and brachiopods locally numerous in the shale (Deiss, 1939 - DAS23). Formation thickens to the south and west, and ranges in thickness from 28 m to about 120 m",01-17-05,DMU2,,,,,DAS02 | DAS23,Mostly carbonate rock,High,DMU46
"47",,Dearborn Limestone,Dearborn Limestone,Middle Cambrian,"Composed of an upper thick limestone unit and a lower thin shale unit. The limestone unit is finely crystalline, yellowish brown to gray, thin to thick bedded and irregularly bedded. The lower unit consists of gray to gray-green clayey shale with some sandy shale and thin interbedded limestone. Trilobites present in the lower part of the shale unit. Thickness from 67 m to 106 m",01-17-06,DMU2,,,,,DAS02,Mostly carbonate rock,High,DMU47
"48",,Damnation Limestone,Damnation Limestone,Middle Cambrian,"Consists of medium- to dark-gray, thin- to thick-bedded, finely crystalline dolomitic limestone and limestone with laminae of grayish-orange to yellowish-gray siltstone that thicken and thin. Locally they are oolitic and contain trilobites, brachiopods, and organic trails and burrows. Thickness from 30 m to 68 m",01-17-07,DMU2,,,,,DAS02,Limestone,Medium,DMU48
"49",,Gordon Shale,Gordon Shale,Middle Cambrian,"Mainly a dark-gray to gray-brown, very thinly laminated shale with a greenish tint and locally maroonish-gray beds. Contains many thin beds of sandstone and some beds of limestone, especially in the middle and upper parts. In places the limestones contain glauconite, algal structures, limestone chips, grains of quartz, and fossil fragments. The upper part contains numerous fossils (Deiss, 1939 - DAS23), whereas the lower beds locally contain organic trails and burrows, some by trilobites. Thickness from 42 m to 90 m",01-17-08,DMU2,,,,,DAS02 | DAS23,Mostly mudstone,High,DMU49
"50",,Flathead Sandstone,Flathead Sandstone,Middle Cambrian,"Consists of thin- to thick-bedded and crossbedded, noncalcareous yellowish-gray, poorly sorted, poorly indurated, fine- to coarse-grained quartzose sandstone with scattered quartz pebbles. Beds are characteristically speckled by disseminated hematite. Interbeds of gray, purple, or maroon mudstone locally present. Thickness from 13 m to 35 m",01-17-09,DMU2,,,,,DAS02,Sandstone,High,DMU50
"51",,Proterozoic Y stratified rocks,,,"The Proterozoic stratified rocks in the quadrangle are assigned to the Belt Supergroup and consist of quartzite, siltite, argillite, limestone, and dolomite that are metamorphosed to the chlorite subfacies. The Belt Supergroup is divided into upper, middle, and lower parts. The upper part is the Missoula Group which consists mostly of fine-grained elastic rocks and minor limestone and dolomite above the Helena Formation. The middle part is the Helena Formation which consists mostly of limestone and dolomite. The lower part, the Ravalli Group, contains mostly siltite and argillite with minor quartzite, limestone, and dolomite. Thickness of the Belt Supergroup in the quadrangle ranges from 2,000 min the eastern part to more than 10,000 m in the western part","02",Heading2,,,,,DAS02,,,DMU51
"52",Ygr,Garnet Range Formation,Garnet Range Formation,Proterozoic Y,"Consists of pale-olive to medium-gray and moderate brown, poorly sorted, very fine to fine-grained, micaceous, thin even beds of sandstone and siltstone. Locally they are speckled by hematite, crossbedded and ripple marked. The formation varies in thickness due to pre-Middle Cambrian erosion and ranges from less than 1 m to 490 m, attaining its greatest thickness in the southern outcrops",02-01,DMU1,Ygr,Ygr,"102,077,000",,DAS02,Sandstone and mudstone,High,DMU52
"53",Ybe,"McNamara Formation, Bonner Quartzite, and Mount Shields, Shepard, Snowslip, Helena, Empire, and Spokane Formations","McNamara Formation, Bonner Quartzite, and Mount Shields, Shepard, Snowslip, Helena, Empire, and Spokane Formations",Proterozoic Y,"McNamara Formation, Bonner Quartzite, and Mount Shields, Shepard, Snowslip, Helena, Empire, and Spokane Formations",02-02,DMU1,Ybe,Ybe,"179,153,128",,DAS02,Metasedimentary rock,High,DMU53
